"","text","country","source"
"567","happy canada day! the hills in the back are in british columbia maybe my dog &; i will take a stroll over there, just to see if it feels differt #ohcanada #canadaday ///pumnoimn5r","","Twitter for iPhone"
"568","#ohcanada  ///j9xor2h0op","","Twitter for Android"
"569","#myheart  #mycountry #ohcanada  ///tkhxsbx2u0","","Twitter for iPhone"
"570","happy canada day everyone! ev though im not over there, i still celebrate a bit #throwback to #november2014#pnw #yvr #mustbevancouver #canada #pnwonrnd #vancitynow #explorecanada #igerscanada  #ohcanada #unlimitedcanada #canadaday # ///2yz3j7qduq ///hzostxq4go","","IFTTT"
"571","happy canada day!!  showing some love for our frids up north with some winnipeg bld coffee, out of a canada mug i bought in vancouver, wearing my @tokyosmoke shirt from toronto!  #ohcanada #canadaday #amianhonorarycanadianyet ///v7xtecdkji","","Twitter for iPhone"
"572","a very happy canada day to all of our wonrful followers! #happycanadaday #canadaday #ohcanada #eh #canada152 #canadadaylongweekd #longweekd #redandwhite #pri #proudtobecanadian #theblossomshop ///ilgya1r6wv","","Hootsuite Inc."
"573","pop into #theblossomshop, fun florals for all of your #canadaday gatherings let the #longweekd begin! ///k512tzbx0t#weekdvibes #fridayflowers #floralfriday #ohcanada #partyready #downtowncarletonpce #ourcp #carletonpce #weekdfun ///a8g1ntwcc9","","Hootsuite Inc."
"574","sorry @andrewscheer but your team cancelled our 52 year tradition of #canadaday at ques park giving huge thanks to @mitziehunter for creating the opportunity for ontarioians, regardless of whose team theyre on, a pce to celebrate together #ohcanada ontario #yourstodiscover ///1kgdxyj3zt","Canada","Twitter for iPhone"
"575","#canadaisalreadygreat via @masstolight! #ohcanada #canadaday ///dwf5ehor1g","Canada","Twitter for iPhone"
"576","happy canada day to all my canadian fans &; customers #canada #canadaday #standonguard #red #white #redandwhite #ohcanada #mapleleaf #raptors #sgso #snowman2019 #sgsostyle #stevegriffithsignatureornamts ///fpkwndq4cw","","Instagram"
"577","today we are proud to celebrate our wonrful country as well as to honour the battle of beaumont hamel july 1st is doubly important to newfoundnrs &; labradorians for our peace, our freedoms, and our lives, thank you! #ohcanada #memorialday #weremember #nlandlabproud ///hbimnvb4jk","","Twitter for iPhone"
"578","thank you to all of our new #twitch followers! for anyone else interested, we are canadian husband &; wife #gamers, and py a variaty of games!#gamersunite #gamersriseup #gamergirls #ohcanada #mondaymotivation #twitchaffite #twitchstreamers #canada152 #canadaproud","","Twitter for Android"
"579","happy canada day! whats your favourite thing about canada, being canadian, favourite pce in the country, etc#ohcanada #canadaday #godkeepournd ///oyrgikkhw0","","Twitter for Android"
"580","celebrating #canadaday in #croatia with a #german  that totally makes sse doesnt it #travel #frids #vacation #ohcanada #roadtrip #whynot #adriaticsea #favouritehonourarycanary #spaday #treatyoself @ croatia ///h0ddzms1ro","","Instagram"
"581","#happycanadaday  #ohcanada #georgianbay  ///isumt5raap","Canada","Twitter for iPhone"
"582","happy canada day!  how are you celebrating this long weekd let us know in the commts!#canadaday #ohcanada #canadadaylongweekd #nature #ndscape #cattle ///mfakjsrrv4","","Instagram"
"583","canada, you are beautiful ! #happycanadaday #truorthstrongandfree #wethorth #ohcanada#capitalcity #exploringmycity #nightwalks ///npgylwjp4p","","Instagram"
"584"," happy canada day!!    i took this photo on the ferry from tadoussac across to baie-sainte-catherine in 2016 #happycanadaday #saguayfjord #ohcanada #canada #canadaday ///qioy5epbpv","","Instagram"
"585","wildfire collective  another future grower to watchgreat vio!///nihwj10t4x#c45 #ohcanada #craftcannabis #organic","","Twitter Web App"
"586","happy canada day, eh #canadiancannabis #marysmedibles #happycanadaday #regram #420 #canadaday #eh #cannalove #canadianedibles #proudlycanadian #ehteam #ohcanada #cannabiscommunity #edibles #bakedgoods #cbd #thc #indica #sativa #cbdoil #longweekd #holiday ///c1erhs7v6e","","Buffer"
"587","#ohcanada #happycanadaday #workhappy ///5h4cx7gjym","","Dynamic Signal"
"588","from coast to coast, wishing all canadians a very #happycanadaday! #ohcanada #canadaday @sustain_x ///hokgnvnizd ///8etixv6zwr ///iuikwnki59","","Buffer"
"589","lgrr proud to support @runcanadaday with lots of #volunteers on course @leowsm @frankstebner @margaretb_yvr #ohcanada #canadaday2019 #runningfamily ///isl4wj8rdn","","Twitter for Android"
"590","heads up! the @runcanadaday race is coming up on july 1st! online registration ds tonight - register here ///tfyxhciz9c - ps donate at least $60 to @diabetescanada and you can run or walk for free! #runcanadaday #ohcanada ///djmg0m0shf","","Twitter Web Client"
"591","happy canada day , this beautiful country that has be my home for the st 19 years  as an immigrant i have  always be grateful to have had a second chance to build a life  #happycanadaday #ohcanada #july1st ///mv8jsnqvan","","Instagram"
"592","ottawa - getting ready for canada day #ottawa #ottawatourism #canada #capitalcity #parliamthillottawa #parliamthill #lovelypces #ohcanada #mycountry #potd #instapic #instacool #igdaily #travelcanada #ig_canada ///8xarorxxwl","","Instagram"
"593","from coast to coast, wishing all canadians a very #happycanadaday! #ohcanada #canadaday ///aaviqj5iuo","","Buffer"
"594","strong and free to roam where you choose happy canada day from the lincoln family #lincoln #manitoba #ohcanada #canadaday #happycanadaday #canada #canadian#dominionday #fteducanada #nationaldayofcanada #constitutionact1867 #lejourconfdration #canadaact ///dbioj36mtz","","Twitter for iPhone"
"595","happy #canadaday to all my frids celebrating today #ohcanada ///axb8yhd0yu","","Twitter for iPhone"
"596","from coast to coast, wishing all canadians a very #happycanadaday! #ohcanada #canadaday ///umzcu1hp4v","","Buffer"
"597","happy canada day! #ohcanada  ///37bjronn1n","","Twitter for iPhone"
"598","#cruisin #royalcarribeancruise #aska #ohcanada #seattle    ///cqrwekladt","","Instagram"
"599","#canadaproud #canadaday #ohcanada  ///tprluemvx1","","Twitter for Android"
"600","happy canada day #ohcanada ///dsrbphasl2","","Twitter for iPhone"
"601","happy canada day from my crew of canadians! #ohcanada #yahoo #yyc ///2k56o1zmkk","","Twitter for iPhone"
"602","celebrating canada day on the ck with a @northbrewing gus 65m belgian blon  #nscraftbeer #dartmouth #novascotia #beer #craftbeerlover #buylocal #happycanadaday #ohcanada #summer2019 @ dartmouth, nova scotia ///qrzp0dw3tt","","Instagram"
"603","#ohcanada  ///xrwopr3sxf","","Twitter for iPhone"
"604","#ohcanada #canadaday #welovecanada #mapleleaf #weed #rxleaf #weedmemes #weedfeed #love #fam #wethorth ///i4h47wit5e","","Hootsuite Inc."
"605","still proud to be #canadian ev while living in the states! #ohcanada ///uak6ymiljm","","Twitter Web Client"
"606","happy canada day!! #canadaday #canadian #canadiangirl #eh #canadaday2019 #canada_gram #ohcanada #canadagoose #iamcanadian @teedotapparel ///miiejdgf1i","","Twitter for Android"
"607","have a wonrful day celebrating this beautiful country!#ohcanada #canadaday #happycanadaday #cannabis #ohcannabis ///asfegulwcn","","Twitter for iPhone"
"608","happy canada day! #ohcanada #canadaday #maincanada ///r1rvduxpun","","Hootsuite Inc."
"609","happy canada day today to chog canada, from british columbia to ontario celebrating, since 1867, canadas proud history and pce in the family of nations #ohcanada ///wktbvgmr4t","","Twitter for Android"
"610","great weather for canada day celebrations! long lines for pancakes and especially the canada day cup cakes!i am proud to be a canadian!!#canadian #proudlycanadian #canadaday #ohcanada #bradrekoppyxe #letswintogether #conservative #yxe #julyfirst #canadadaycelebrations ///uvs7obf58e","","Twitter for iPhone"
"611","happy #canadaday2019 to our neighbors to the north in @canada  and our partners in the @bclegisture have a safe and happy holiday! we look forward to continuing our work on tra, forest fire prevtion and water quality  #ohcanada #waleg ///ilas4sf6f0","","TweetDeck"
"612","wishing all of you a happy canada day!#canadaday2019 #canadian #ohcanada #july1st #grateful ///4zzhhcawmk","","Instagram"
"613","@cdncyclist @floydscycling @rallyuhccycling awesome job @ryanroth52 #ohcanada","","Twitter for iPhone"
"614","happy #canada  day from the tire ziptrek team! #ohcanada #whistler ///hlqdog3suo","","Sprout Social"
"615","happy canada day!  on this day, let us celebrate some of the monumtal victories that we have had as a country for the 2slgbtq+ poputionthere are many more, of you think of one feel free to commt! #strongandfree #ohcanada #canada152 #pfgcanadapei #pfgcanada ///lmm1g5lddg","","Twitter for iPhone"
"616","does anyone else think geese are over rated#ohcanada #goosebumps #ducktales #donaldduck","","Twitter for Android"
"617","happy canada day! #canadaday #ccbc #brasilcanada #banffnationalpark #ohcanada ///ulkuhej6i4","","Twitter Web Client"
"618","happy canada day to all my canadian frids and to all canadian people in canada  i wish you all a great day from cologne germany  #01ofjuly2019 #happycanadaday #ohcanada #152thbirthday #happybirthdaycanada ///qznzkvkww6","Germany","Instagram"
"619","happy canada day from mason lake! #ohcanada  ///jevvbumanl","","Twitter for iPhone"
"620","love and vows photography wishes all of our canadian frids a very happy canada day! #canadaday #ohcanada  #welovecanada ///wr6i7gttp9","","LaterMedia"
"621","our first uber driver in toronto was an aerospace gineer who picked us up in a bmw 5 series #ohcanada","","Twitter for Android"
"622","yesterdays beach snack#ohhry #ohcanada #ohrich ///f4gqsrtudq","","Instagram"
"623","#reppincanadafshback #ohcanada #strongman #logpress #kindamissit ///7phtfj22fc","","Instagram"
"624","this was the rally where i convinced @justintruau to legalize weed  unfortunately, we smoked a rge amount and he messed it up a bit#ohcanada ///bdg2c7leul","","Instagram"
"625","#reppincanadafshback #ohcanada #calgary @bigbadbw ///nxcacyrf6j","","Instagram"
"626"," happy canada day! #ohcanada #babyirwin #firstcanadaday #famjam #rosiepie #presacanario #happycanadaday @ brittania yacht club ///xydzceralw","Canada","Instagram"
"627","""happy canada day"" to our northern neighbor and cultural cousin thanks for always having our back and amusing us with your unfailing politess  #ohcanada ///kavy3inxpt","","TweetDeck"
"628","happy  canada day to a country thats be like a second home to me  #ohcanada #canada #canadaday ///rzcpzxnbqx","","Twitter for Android"
"629","happy canada day from quebec city and three gals who are proud to be canadian so are we#happycanadaday #fromseatoshiningsea #ohcanada  @ quebec vieux-quebec ///rr1mjsagnt","Canada","Instagram"
"630","happy canada day  everyone!! just livin our best life in this beautiful country we are #blessed to live in  #kelife #ohcanada @ shawnigan lake, british columbia ///dvgk2plbfl","","Instagram"
"631","#ohcanada ///p8nbmxqbrb","","Twitter for iPhone"
"632","happy canada day everyone! dont forget to ter my original art giveaway contest! (yes those are maple leaves!) #canadaday #canadaday2019 #canadaproud #canada152 #ohcanada #happybirthdaycanada #canadianartist #canadian #canadiangirl #canadianart #art #artist #giveaway #raffle ///8rxf1lreqq","","Twitter Web Client"
"633","the good people at midtown yoga want to wish everybody a happy canada day! 152 years strong and just getting better! join them for fun, flexibility and ctering in the heart of belmont vilge!#yoga #canadaday #canada152 #canadaproud #longweekd #ohcanada #proudcanadian ///xu6t1dlrco","","Hootsuite Inc."
"634","@redlianak happy and glorious canada day to you! #ohcanada","","Twitter Web Client"
"635","#canada #ohcanada #canadaday #canadaday2019 #ralph #ralphwiggum #simpsons #thesimpsons ///25rnpxvmlt","","Instagram"
"636","happy canada day!! joyeuse fte du canada !! #wethorth #canada #canadaday #feteducanada #ohcanada @ montreal quebec canada ///qlxsng9a1c","","Instagram"
"637","canada day is the day we all think about how far weve come congratutions canada! and a very happy canada day to all of us!#concert8solutions #yourchatteam #ohcanada #canadaday #maincanada #happycanadaday #canadian #dominionday #fteducanada #nationaldayofcanada ///3dnbno4pyn","","Hootsuite Inc."
"638","happy canada day!!!! #canadaday #ohcanada #summer #longweekd #fireworks #yvettegabraiel ///3u3gu1tufz","","Hootsuite Inc."
"639","oh canada ined as man in sask buys canoe with saved canadian tire money, states ""he need a new one""#longweekd #canadaday #ohcanada///rwi1k6xeqx","","Hootsuite Inc."
"640","from all of us here at reitzel bros by ags environmtal, we wish you and your family the very best canada day! happy 152 canada!#canadaday #canada152 #canadaproud #longweekd #ohcanada #proudcanadian #kwawesome #explorewr #fireworks ///ckvfbeuvjs","","Hootsuite Inc."
"641","looking for a fireworks show for the family in waterloo region or guelph check out this great list of where the colours will be flying and happy birthday canada!///odut6x3tuc#canadaday #canada152 #canadaproud #longweekd #ohcanada #proudcanadian #kwawesome","","Hootsuite Inc."
"642","its canada day! and im nowhere near ontario or quebec ( #ohcanada #cesttriste","","Twitter for iPhone"
"643","happy canada day from the bpg crew! #ohcanada #canadaday #maincanada #happycanadaday #canada #canadian ///jvbnb4ftii ///nyahj0di9m","","Hootsuite Inc."
"644","from all of us at the fairfield inn &; suites guelph, we hope you had a wonrful long weekd, and have a great canada day! dont forget the fireworks show at riversi park tonight happy 152 canada!#canadaday #canada152 #canadaproud #longweekd #ohcanada #proudcanadian ///mmue0kkpnb","","Hootsuite Inc."
"645","from all of us at the hton inn &; suites guelph, we hope you had a wonrful long weekd, and have a great canada day! dont forget the fireworks show at riversi park tonight happy 152 canada!#canadaday #canada152 #canadaproud #longweekd #ohcanada #proudcanadian ///cdhv37vuli","","Hootsuite Inc."
"646","have a d-eh to all of my canadian followers!   #ohcanada #canadaday @ canada ///bbqjip370q","","Instagram"
"647","from all of us at the holiday inn express &; suites guelph, we hope you had a wonrful long weekd, and have a great canada day! dont forget the fireworks show at riversi park tonight #canadaday #canada152 #canadaproud #longweekd #ohcanada #proudcanadian ///dmjjcgkhhd","","Hootsuite Inc."
"648","earth birthed an angel 152 years ago may all of us command  #ohcanada #gocanada","","Twitter for iPhone"
"649","throwback  #proudcanadian #missworldcanada #missworld #pageantpast #finalist #ohcanada #worlddomination #isaidwhatisaid currt situation wine instead of tea and a lot of mosquito repellt day drunk ///eclvda34ns","","Twitter for iPhone"
"650","happy canada day #fif #ohcanada #canadaday","","Twitter for Android"
"651","the #gwcpc would like to wish everyone a very happy canada day! enjoy the weather and stay safe! #ohcanada #eh #ourhome   ///d6vsm5girl","","Twitter for iPhone"
"652","happy birthday #canada  #alfonso #canadaday #ohcanada ///jpanzd9ba8","","Twitter for iPhone"
"653","celebrating #canadaday in my favourite pce in the world by eating a whole bag of all dressed chips  #sorrynotsorry #ohcanada ///6kgaenrucj","","Twitter for iPhone"
"654","happy #canadaday2019! #ohcanada #trivia ///5blc925nqc","","Twitter Web Client"
"655","happy canada day!!!!! our office will be closed today enjoy the day with family and frids ) #canadaday #wethenorth #ohcanada #proudcanadian #joy #shorkie #officedog #dogsoftwitter #dogstagram #puppy #puppylove #dogslife #cutedog #cutessoverload ///jnum3k129b","","Twitter Web Client"
"656","splish spsh happy canada day! #cottagelife #splishspsh #dadbod #canada #ohcanada #ilovewhereilive #swimming #canadaday #happycanadaday @ little knisis lake ///zess6ywsbc","","Instagram"
"657","happy canada day!  #ohcanada @ canada ///pc4ofyfpmh","Canada","Instagram"
"658","happy canada day everyone! stay safe out there! #ohcanada","","Twitter Web Client"
"659","happy canada day everybody!!!#canada #canadaday2019 #ohcanada #fascanada ///ee6tpqcpix","","Hootsuite Inc."
"660","join the celebration on july 1st! live music all day, no cover and families welcome until 9pm!#canadaday #canada #ohcanada #victoriabc #irishtimespub #yyjevts ///xri2ikptpz","","Hootsuite Inc."
"661","join the celebration on july 1st! live music all day, no cover and families welcome until 9pm!#canadaday #canada #ohcanada #victoriabc #irishtimespub #yyjevts ///bzaiznskgo","","Hootsuite Inc."
"662","happy canada day from all of us!! come celebrate with live music all day #canada #canadaday #ohcanada #canadian #timesgirls #andcody #redandwhite #celebrate #happybirthday #yyj #irishtimespub @ irish times pub ///iewzume9bf","Canada","Instagram"
"663","#canada #canadian #afrocanadian #canadaday #ohcanada #mapleleaf #canada @ edgemont, edmonton ///infniz1sef","","Instagram"
"664","to celebrate the #holiday, come in and joy one of our maple-infused mu choices, including the #maple pecan sad, or the maple baked salmon! #canadaday #ohcanadamake your reservation today! ///ud9gzibboa ///ji9xkrxw0g","","SocialPilot.co"
"665","happy birthday canada! and from all of us here at #wl crks, wed like to wish you and your family and very happy #canadaday!#holiday #ohcanada #wethenorth ///uzm2tkcpkb","","SocialPilot.co"
"666","as a #canadian, im typically more of a purist wh it comes to #poutine but hey, im surprised they ev have it avaible in california, so thanks #jasperscornertap!#ohcanada #canadaday  @canada ///upagyetalw","","Twitter for Android"
"667","@markcritch @melissaroyle how do you like your flags #overeasy #ohcanada","","Twitter for iPhone"
"668","happy canada day  to all! remember we are op today come celebrate with us while joying great  food  !#canadaday #canadian #canadasbday  #ohcanada #parkscanada #igcanada_ ///jvszappgsu","Canada","Instagram"
"669","omg i totally forgot what day it was! happy maple leaf day fellow canucks! #canadaday2019 #redandwhite #ohcanada","","Twitter Web Client"
"670","@twittem did anybody see you rolling more importantly did they catch you riding dirty  #ohcanada ///ap2zqd5iol","","Twitter for iPhone"
"671","happy #canadaday! #canadianbacon #joeyvotto #reds @reds #captaincanada #sorry #ohcanada #canada  ///pnwp3mdcdb","","Twitter for iPhone"
"672","#ohcanada! happy canada day to all of you hosers, eh! we hope you all joy this day to the fullest shotgun a molson, tickle a beaver, cover everything in maple syrup, and just giver!#canadaday #sorry ///ijv72hos1n ///37bwhw7eow","","Hootsuite Inc."
"673","happy canada day! #ohcanada ///u4zcskuu3t","","Twitter for iPhone"
"674","happy canada day  to all canadians all over the world  enjoy celebrating  your country no matter where you are!#canadaday #canadian #canadasbday  #ohcanada #parkscanada #igcanada_ ///wnhqwumog9","","Instagram"
"675","we here at the white hatter are all very proud to be from such an amazing, diverse country happy canada day from all of us to you  #canadaproud #canadaday #ohcanada ///ghmstvs5pv","Canada","Twitter for iPhone"
"676","happy canada day from us to all of you &; your families! we are so proud to call this great nation home #beliketerry #ohcanada #myscarborough #scarbto @ scarborough toronto ///fvmg7txttd","Canada","Instagram"
"677","happy canada day#happycanadaday #ohcanada #joytheday #afrofestteam #canadaday ///xhi3nxcr9e","","Twitter for Android"
"678","#ohcanada! happy birthday to our neighbors! #canadaday #birthday #canadaday2019 #happycanadaday ///wwbbo0dkd6","United States","Twitter for Android"
"679","happy canada day!  we hope our canadian team members and frids are spding the day celebrating all things canadian #ohcanada #longweekd ///5lnnjbcblt","","Twitter for Android"
"680","happy birthday, canada!may #truenorth long remain #strongandfree!#canadaday2019 #ohcanada(this tweet was pre-scheduled)","","Twitter Web App"
"681","happy 152nd birthday #canada  ! happy &; blessed to be a part of this great country #canadaday2019 #canadaday #ohcanada","","Twitter Web App"
"682","a beautiful sight that helps make canada an amazing pce to live! welcoming people who come here to build a better life, diversity and inclusion, looking out for each other and striving to make things ev better all things we must commit to, now more than ever #ohcanada ///j76kg6sgvz","","Twitter for iPhone"
"683","today we proudly wear our red and white to celebrate our great country! happy canada day! #canadaday #canada #ohcanada #yyc #calgary #july1#proudcanadian #canadian #yyccanadaday ///ojsd2zwegv","","Hootsuite Inc."
"684","where in canada is gordie if you want him to come to your neck of the woods tell us where should he go next #ohcanada #ohgordie ///mx99imczug","","HeyOrca"
"685","theres not a day that goes by that we dont appreciate this beautiful country we live and operate in happy birthday canada 152 years old looks good on you! we hope everybody is having as great a long weekd as us!#canadaday #canadaproud #longweekd #ohcanada #proudcanadian ///jivqig2l5i","","Hootsuite Inc."
"686","happy canada day! #ohcanada #ocanadayyc ///jxa1zytolu","","Twitter for Android"
"687","happy canada day! #ohcanada ///e1ayhhdb9d","","Twitter for iPhone"
"688","get strong like our 152 year old beautiful country with our $299 all you can attd better body exchange strgth css! happy birthday canada and we hope everybody is having a great weekd!#canadaday #canada152 #canadaproud #longweekd #ohcanada #proudcanadian ///qfy3vfnfxf","","Hootsuite Inc."
"689","we are wishing you and your families a wonrful, safe, and fun-filled canada day!  #happycanadaday #soszones #summer #apps #appsign #staysafe #healthylifestyle #safetyapp #canada #ohcanada ///bbcu7gqv99","","Twitter Web Client"
"690","#ohcanada  celebrating with our families, frids, clits and associates!  ///gldmqvy31o","","Twitter for iPhone"
"691","#wethenorth #canada152 #canadaday2019 #ohcanada #canadaproud #meanwhileincanada #canadaeh #truenorthstrongandfree ///wism4ysrvr","","Twitter for iPhone"
"692","happy canada day my frids!every single day i feel more &; more blessed to live in this great country now put on your toque, grab a two-four (or a pop, or a double double)&; party! #ohcanada #canada152 #canadaday2019 #canadaproud #meanwhileincanada ///neofzkduvf","","Twitter for iPhone"
"693","#ohcanada #canadaday2019 #canadaproud #canada152 #truenorthstrongandfree ///x9bv1pdaja","","Twitter for iPhone"
"694","choice cabinet canada wants to wish you and your family the very best long weekd were kicking back with some brisket on our big dawg kamado smoker! happy birthday canada! youre looking pretty good for 152 )#canadaday #canada152 #canadaproud #longweekd #ohcanada ///dda3ikidct","","Hootsuite Inc."
"695","happy #canadaday my frids! #canadaproud #canadaday2019 #artistsontwitter #july1st #ohcanada #canada152 #proudcanadian #artshare #artist ///7wfbfhvmhh","Canada","Twitter for Android"
"696","on a wonrful day like today  #happybirthdaycanada #ohcanada #canadaday2019 #canada152 ///mjoveduyuz","","Twitter for iPhone"
"697","@mrsevalau @littlecanada_ @allu hmm can these be done with 3d printing  little canada is such a great ia!  #ohcanada #happycanadaday2019","","Twitter for iPhone"
"698","happy canada day! hiking in beautiful #grosmorne, boat tour of #westernbrookpond and tonight we get screeched in @woodypoint what better way to spd #canada152 #canadaday2019 #canadaproud @cbcnl @nltweets #newfoundnd #ohcanada @woodypointnfld ///irhejzbqlo","","Twitter for iPhone"
"699","happy canada day from our vancouver office! #canadaday #canadaday2019 #happycanadaday #ohcanada #intracorp #buildingtheextraordinary #realestate #canadianfg ///nr4qs5qsrc","","Hootsuite Inc."
"700","from all of us at apollo irrigation, we hope you and your family are having a wonrful long weekd happy birthday canada 152 looks good on you!#canadaday #canada152 #canadaproud #longweekd #ohcanada #proudcanadian ///sotw4cdux9","","Hootsuite Inc."
"701"," happy canada day!!!  have an amazing long weekd celebrating our great nation and joying wonrful times with your family #ohcanada #5tool #family #baseball #152 @ 5 tool fieldhouse ///ktlqlcgizg","","Instagram"
"702","if the @bluejays win today, is @snetcbell livering a #candygram to the clubhouse singing #ohcanadaloving the patriotic threads! #happycanadaday @sportsnet @barrydavis_ @thehazelmae @dshulman_espn","","Twitter for iPhone"
"703","oh canada, our home and native nd""dear world, it takes a vilge "" #ohcanada #ittakesavilge #peaceonearth happy canada day !","","Facebook"
"704","young innovators c is the pce to be this summer! kids 10-14 learn the fundamtals of trepreurship and build a working app prototype in one amazing week receive $50 off registration using co ohcanada ///qw7dgne5uy #canada152 #ohcanada ///fgmfui18om","","Twitter Web Client"
"705","today is @canada day happy national day to the best #neighbors anyone could ask for #ohcanada","","Twitter Web Client"
"706","// happy canada  day, everyone!! // #canada #ohcanada @ vancouver, british columbia ///pb9hkritrd","Canada","Instagram"
"707","sporting my #endur maple leaf socks, #dsquared2 maple leaf shoes coupled with my blinding white legs for canada day  in the nations capital #canadaday #nationscapital #mapleleafforever #ohcanada ///gp3mktbi0s","","Twitter for iPhone"
"708","happy canada day to all my family up north #canadaday #happycanadaday #canadaday #canadaday2019 #ohcanada ///ge50szwivo","","Instagram"
"709","todays 5k and 10k winners thanks to @sauconycanada for prizes for these speedy folks! #runcanadaday #ohcanada #canadaday2019 at @wesbrookvilge  ///pjndfl4bco","","Twitter for Android"
"710","huge thanks to the @startlinetiming crew at todays race check ///kzkmoj7v2x for todays results and congratutions everyone! #runcanadaday #ohcanada #canadaday2019 at @wesbrookvilge  ///yxu59s2k8n","","Twitter for Android"
"711","more prerace run at #runcanadaday at @wesbrookrr - lots of excitemt! thanks to our #volunteers and #sponsors #ohcanada #canadaday2019  ///gx2yqdrhj1","","Twitter for Android"
"712","the excitemt is building for #runcanadaday! thanks @saveonfoodsubc for the watermelon and kudos to our other sponsors @scotiabank @wesbrookrr @wesbrookvilge and our great #volunteers plus #icecream from @rungoapp #ohcanada ///hggxdtvblf","","Twitter for Android"
"713","wow! look at the great weather for #canadaday - theres still time to sign up for #runcanadaday at @wesbrookrr btwn noon and 5 pm tomorrow or race day btwn 815 and 915 - cash only #ohcanada #runforthecake  ///aomgqdyofu","","Twitter for Android"
"714","yes! its almost time for cake, thanks to @saveonfoods #wesbrookvilge it will be waiting for our #runners and #walkers on july 1st! online registration ds tonight so head to ///va4ohr1rid and sign up now! #runcanadaday #ohcanada  ///uxn6bllvbt","","Twitter for Android"
"715","our thanks to @saveonfoodsubc for hosting todays bbq for our runners and walkers #ohcanada #runcanadaday #canadaday2019 at @wesbrookvilge ///r31ge9w1tu","","Twitter for Android"
"716","we love #canadaday headgear!  time to start shopping for this years #runcanadaday so you look fashionable on race day! remember, online registration closes tonight visit ///va4ohr1rid for all the tails! #ohcanada  ///fmwvqlmohg","","Twitter for Android"
"717","happy #canadaday2019 remember that spite #mmiwg calling it a gocidal nation with sycophantic agreemt from @justintruau , canada is one of the best countries to live in, and has be less oppressive than most nations #ohcanada","","Twitter Web Client"
"718","happy #canadaday! we hope youre joying a fun and rexing long weekd!  #canadaproud #ohcanada ///8uvugfzp73","","Twitter for iPhone"
"719","happy canada day! be safe, have a double double, on a chesterfield, wearing a toque, watching a hockey game eh!#canadaday #maincanada #happycanadaday #proudcanadian  #ohcanada #ryrcreekhomes ///2cxlw52m8v","","Twitter Web Client"
"720","our neighboring canadians we leaf you happiest #canadaday2019 #ohcanada ///czjkm1kspz","","Twitter for iPhone"
"721","#repost @airseattle with get_reposthappy canada day!  lets celebrate with ketchup chips! whos bringing me some #ohcanada #ketchupchips #happycanadaday #happycanadaday ///mbahplrkfg","","Instagram"
"722","long weekd woes #rovateme #sign #construction #home #rovation #remol #vancouver #yvr #sundayfunday #sundaythoughts #weekd #weekdgoals #goodmorning #sundaymorning #summer #summer2019 #canadaday #canadadayweekd #ohcanada #canada #truorth ///bn1bw4ve0z","","Twitter Web Client"
"723","happy canada day! #rovateme #sign #construction #home #yvr #summer #june #summer2019 #canadaday #ohcanada #canada #truorth #canadaproud #vancouver ///xw2wdfaw5p","","Twitter Web Client"
"724","@stczarnian83 @arachnonaut ah good call! maybe we need to py our copy today #ohcanada ","","Twitter for iPhone"
"725","in anticipation of canada day celebrations #fireworks #celebratoryexplosions #canadaday #ohcanada #personalcombustionwands #strangepnet nathanwpylestrangepnet ///nqg3e8sk7l","","Instagram"
"726","somebody flying a huge canadian fg on their boat around the ke #canadaday #canada #canadianfg #ohcanada @ manitouwabing lake ///grxweii40y","","Instagram"
"727","happy canada day! #canadaday #ohcanada ///gjh96gtqkc","","Instagram"
"728","canada day fireworks on the ke #fireworks #canadaday #ohcanada @ manitouwabing lake ///doinknklj7","","Instagram"
"729","happy canada day! #canadaday #canada152 #ohcanada ///ulsiqv5af3","","Social Web Suite"
"730","adrinesteagarn happy canada day from adrines  #canadaday #yyjcanadaday #matticksfarm #adrinesteagarn #proudtobecanadian #ohcanada #tea #baking #localbusiness #cordovabay ///fcwnmzyhkg","","Instagram"
"731","@matticksgallery happy  canada  day!! from this proud canadian girl!! we are op 11-5 today  #yyjartists #matticksfarm #cordovabay #canadiangirl #happycanadaday #ohcanada #glowinghearts #truorthstrongandfree ///rfobzklzjs","","Instagram"
"732","11,000 people head to parliamt hill to celebrate canada day!///9cnfjxzf3n#canadaday #canada152 #canadaproud #longweekd #ohcanada #proudcanadian","","Hootsuite Inc."
"733","bagged milk, the raptors and #muchoburrito all great things canadian happy canada day #ohcanada #canadaday ///gfevh8gqlu","","MomentFeed."
"734","just a little bit of red &; white for our canadian followers happy canada day! #happycanadaday #canada #ohcanada #eh #teamcanada #theehteam #peace #love #proudtobecanadian #pri #canadian #canada152 #canadadaylongweekd #redandwhite #canadianpri #bunchesdirect ///3pqbncsvxr","","Hootsuite Inc."
"735","happy canada day from poplin &; co we are spding our day joying the great outdoors and rexing with a few brewskies in que elizabeth park how are you spding yours #printedshirt #ohcanada #canadaday #70sfashion #floralshirts #vancitybuzz #mstyle #dailyhivevan ///ewe8ejunox","","Hootsuite Inc."
"736","oh, canada  good earth is proudly canadian - found in calgary, alberta in 1991 we hope you have a wonrful canada day with your loved ones!#canadaday #proudlycanadian #goodearthcoffeehouse #ohcanada #canadadaylongweekd ///d6vbbpgjqa","","Twitter for iPhone"
