user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
1.04791E+18,1.14649E+18,2019-07-03T18:35:01Z,AtonResources,"https://t.co/UV7gRDzBDn
#OhCanada",RecurPost - Social Scheduler App,33,,,,TRUE,FALSE,0,0,OhCanada,,twitter.com/TwitterMoments…,https://t.co/UV7gRDzBDn,https://twitter.com/TwitterMoments/status/1145682911573827590,,,,,,,,,,,und,1.14568E+18,Birthday wishes pour in for Canada.🇨🇦 https://t.co/asnNGjhk9C,2019-07-01T13:17:46Z,TweetDeck,931,349,3260518932,TwitterMoments,Twitter Moments,693759,10,61975,"New York, USA",The best of what’s happening on Twitter in an instant.,TRUE,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/AtonResources/status/1146487527198642176,Aton Resources,Egypt,Gold exploration and development company located in Egypt’s Arabian-Nubian Shield focused on its 100% owned Abu Marawat concession. TSX.V: $AAN,https://t.co/mL9UojNMkz,FALSE,326,575,7,3237,904,2018-10-04T17:44:42Z,FALSE,https://t.co/mL9UojNMkz,http://www.atonresources.com,,https://pbs.twimg.com/profile_banners/1047905362681114624/1548100565,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1087438744313974789/S391FNEU_normal.jpg
1.04791E+18,1.14578E+18,2019-07-01T20:00:02Z,AtonResources,"See photos of #AtonResources geologists Jim Yates, Tarek Gaber and Abdel Raheem in Wadi Safaga yesterday with music ""O Canada by Calixa Lavallée - Performed by the Band of the Ceremonial Guard of the Canadian Armed Forces."" https://t.co/WWA18MaK1T

#OhCanada

Best wishes to all",RecurPost - Social Scheduler App,278,,,,FALSE,FALSE,0,0,AtonResources|OhCanada,,youtube.com/watch?v=LLFLEV…,https://t.co/WWA18MaK1T,https://www.youtube.com/watch?v=LLFLEVPcqkY,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/AtonResources/status/1145784144519188485,Aton Resources,Egypt,Gold exploration and development company located in Egypt’s Arabian-Nubian Shield focused on its 100% owned Abu Marawat concession. TSX.V: $AAN,https://t.co/mL9UojNMkz,FALSE,326,575,7,3237,904,2018-10-04T17:44:42Z,FALSE,https://t.co/mL9UojNMkz,http://www.atonresources.com,,https://pbs.twimg.com/profile_banners/1047905362681114624/1548100565,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1087438744313974789/S391FNEU_normal.jpg
1.04791E+18,1.14576E+18,2019-07-01T18:12:01Z,AtonResources,"https://t.co/4SiTj2Kvyz

#OhCanada",RecurPost - Social Scheduler App,34,,,,TRUE,FALSE,0,0,OhCanada,,twitter.com/im_mining/stat…,https://t.co/4SiTj2Kvyz,https://twitter.com/im_mining/status/1102500645603545088,,,,,,,,,,,und,1.1025E+18,"#Canada's @SohiAmarjeet has launched the Canadian #Minerals and #Metals Plan at @the_PDAC 2019 in an effort to ensure the country capitalises ""on its natural and human advantage"" in the resources sector https://t.co/d0O5cOchDK #futureofmining #PDAC2019 #Canadamining https://t.co/jcdFy5Esla",2019-03-04T09:26:52Z,Twitter Web Client,1,0,125357097,im_mining,International Mining,12478,749,6692,Global,"International Mining is a world leading monthly #mining equipment, technology and innovation title including #FutureofMining #underground #mineralprocessing",FALSE,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/AtonResources/status/1145756961180463105,Aton Resources,Egypt,Gold exploration and development company located in Egypt’s Arabian-Nubian Shield focused on its 100% owned Abu Marawat concession. TSX.V: $AAN,https://t.co/mL9UojNMkz,FALSE,326,575,7,3237,904,2018-10-04T17:44:42Z,FALSE,https://t.co/mL9UojNMkz,http://www.atonresources.com,,https://pbs.twimg.com/profile_banners/1047905362681114624/1548100565,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1087438744313974789/S391FNEU_normal.jpg
1.04791E+18,1.14576E+18,2019-07-01T18:11:00Z,AtonResources,"Learn more about mining in Canada from @theminingstory

https://t.co/VLl0yNaXBO

#OhCanada",RecurPost - Social Scheduler App,90,,,,TRUE,FALSE,0,0,OhCanada,,twitter.com/theminingstory…,https://t.co/VLl0yNaXBO,https://twitter.com/theminingstory/status/1143167942122704897,,,,,,,,,344258682,theminingstory,en,1.14317E+18,"#DYK that @tsx_tsxv are the world’s number one #mining and exploration listing venues, where nearly one-third ($8.5 billion) of the world’s total equity capital was raised in 2017? https://t.co/FGXtlbCwxE",2019-06-24T14:44:11Z,Twitter Web Client,0,0,344258682,theminingstory,theminingstory,11144,1425,2919,"Ottawa, ON, Canada",The Mining Association of Canada (MAC) is the national voice of the Canadian mining industry. Representing members committed to sustainable mining.,FALSE,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/AtonResources/status/1145756707093712897,Aton Resources,Egypt,Gold exploration and development company located in Egypt’s Arabian-Nubian Shield focused on its 100% owned Abu Marawat concession. TSX.V: $AAN,https://t.co/mL9UojNMkz,FALSE,326,575,7,3237,904,2018-10-04T17:44:42Z,FALSE,https://t.co/mL9UojNMkz,http://www.atonresources.com,,https://pbs.twimg.com/profile_banners/1047905362681114624/1548100565,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1087438744313974789/S391FNEU_normal.jpg
1.10184E+18,1.14648E+18,2019-07-03T18:10:16Z,realiloveit,"🇨🇦Celebrate with our extended Canada Day sale🇨🇦20% off your ENTIRE order!! Use code 'Canada' at checkout! That makes each necklace only $6.39 CAD!🤩
🇨🇦Plus free shipping!🇨🇦
#OhCanada #CanadaDay #HappyCanadaDay #Canada #Canadian #IGersCanada #DominionDay #FêteduCanada #canada https://t.co/lmgDLFlqa5",Twitter for Android,274,,,,FALSE,FALSE,1,0,OhCanada|CanadaDay|HappyCanadaDay|Canada|Canadian|IGersCanada|DominionDay|FêteduCanada|canada,,,,,http://pbs.twimg.com/media/D-keqUqXUAAuBU-.jpg,https://t.co/lmgDLFlqa5,https://twitter.com/realiloveit/status/1146481297268924416/photo/1,photo,http://pbs.twimg.com/media/D-keqUqXUAAuBU-.jpg,https://t.co/lmgDLFlqa5,https://twitter.com/realiloveit/status/1146481297268924416/photo/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/realiloveit/status/1146481297268924416,ILoveIt,Canada,"Your home for astronomy related gadgets, gifts, and more!
🇨🇦 Celebrate Canada Day with 20% off your entire order + free shipping!🇨🇦Use code Canada",https://t.co/3obhamRNwX,FALSE,0,0,0,12,8,2019-03-02T13:27:39Z,FALSE,https://t.co/3obhamRNwX,http://officialiloveit.ca,,https://pbs.twimg.com/profile_banners/1101836464621604864/1553026212,,http://pbs.twimg.com/profile_images/1132643861363400710/cGOfgJWP_normal.jpg
7.96017E+17,1.14589E+18,2019-07-02T03:14:18Z,ShadowLakeCtr,"Happy Canada Day!
Shadow Lake Centre wishes you a happy Canada Day, and shares its celebration with you!
@AOYorkRegion
@KerrysPlace
@CLToronto
@CLOntario
#ohcanada #summercamp2019 #Canadaday #shadowlake #ShadowLakeCentre https://t.co/9DvkF04JKv https://t.co/7xqavcpGFS",Twitter for Android,244,,,,FALSE,FALSE,6,0,ohcanada|summercamp2019|Canadaday|shadowlake|ShadowLakeCentre,,twitter.com/ShadowLakeCtr/…,https://t.co/9DvkF04JKv,https://twitter.com/ShadowLakeCtr/status/1145888488207933441/video/1,http://pbs.twimg.com/ext_tw_video_thumb/1145893356628828160/pu/img/iANkasRSV-wFjJBM.jpg,https://t.co/7xqavcpGFS,https://twitter.com/ShadowLakeCtr/status/1145893433317515264/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/1145893356628828160/pu/img/iANkasRSV-wFjJBM.jpg,https://t.co/7xqavcpGFS,https://twitter.com/ShadowLakeCtr/status/1145893433317515264/video/1,,326278269|44341598|44913886|59466805,AOYorkRegion|KerrysPlace|CLToronto|CLOntario,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/3ec3ae6527ff6b28.json,Whitchurch-Stouffville,"Whitchurch-Stouffville, Ontario",city,Canada,CA,|,|,-79.420679|-79.217705|-79.217705|-79.420679|43.923434|43.923434|44.101263|44.101263,https://twitter.com/ShadowLakeCtr/status/1145893433317515264,Shadow Lake Centre,"Whitchurch-Stouffville, Ontari",A society where everyone belongs. A society where everyone is valued.,https://t.co/CUbe2vKwG3,FALSE,90,134,0,270,167,2016-11-08T15:50:58Z,FALSE,https://t.co/CUbe2vKwG3,http://www.shadowlakecentre.ca,,https://pbs.twimg.com/profile_banners/796017173768577024/1561914094,,http://pbs.twimg.com/profile_images/1037158003655360512/VcFu99rN_normal.jpg
7.96017E+17,1.14537E+18,2019-06-30T16:46:38Z,ShadowLakeCtr,"The fourth week of camp starts NOW!! Oh Canada! 

Reminder:
Drop off time at camp: Between 10am-2pm

#Canadaday #shadowlake #ohCanada  #summercamp2019 https://t.co/SHzhHzbjfp",Twitter for Android,150,,,,FALSE,FALSE,0,0,Canadaday|shadowlake|ohCanada|summercamp2019,,,,,http://pbs.twimg.com/media/D-UuvMEWsAAIr8u.jpg,https://t.co/SHzhHzbjfp,https://twitter.com/ShadowLakeCtr/status/1145373085887029248/photo/1,photo,http://pbs.twimg.com/media/D-UuvMEWsAAIr8u.jpg,https://t.co/SHzhHzbjfp,https://twitter.com/ShadowLakeCtr/status/1145373085887029248/photo/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/ShadowLakeCtr/status/1145373085887029248,Shadow Lake Centre,"Whitchurch-Stouffville, Ontari",A society where everyone belongs. A society where everyone is valued.,https://t.co/CUbe2vKwG3,FALSE,90,134,0,270,167,2016-11-08T15:50:58Z,FALSE,https://t.co/CUbe2vKwG3,http://www.shadowlakecentre.ca,,https://pbs.twimg.com/profile_banners/796017173768577024/1561914094,,http://pbs.twimg.com/profile_images/1037158003655360512/VcFu99rN_normal.jpg
7.96017E+17,1.14648E+18,2019-07-03T18:05:03Z,ShadowLakeCtr,"Good afternoon at the beach! 

#ohcanada week! #summercamp2019  #shadowlake https://t.co/7Aew4EP5Ii",Twitter for Android,75,,,,FALSE,FALSE,0,0,ohcanada|summercamp2019|shadowlake,,,,,http://pbs.twimg.com/ext_tw_video_thumb/1146479950947606528/pu/img/1IjK-StNVh2CZ6F-.jpg,https://t.co/7Aew4EP5Ii,https://twitter.com/ShadowLakeCtr/status/1146479984606941184/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/1146479950947606528/pu/img/1IjK-StNVh2CZ6F-.jpg,https://t.co/7Aew4EP5Ii,https://twitter.com/ShadowLakeCtr/status/1146479984606941184/video/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/3ec3ae6527ff6b28.json,Whitchurch-Stouffville,"Whitchurch-Stouffville, Ontario",city,Canada,CA,|,|,-79.420679|-79.217705|-79.217705|-79.420679|43.923434|43.923434|44.101263|44.101263,https://twitter.com/ShadowLakeCtr/status/1146479984606941184,Shadow Lake Centre,"Whitchurch-Stouffville, Ontari",A society where everyone belongs. A society where everyone is valued.,https://t.co/CUbe2vKwG3,FALSE,90,134,0,270,167,2016-11-08T15:50:58Z,FALSE,https://t.co/CUbe2vKwG3,http://www.shadowlakecentre.ca,,https://pbs.twimg.com/profile_banners/796017173768577024/1561914094,,http://pbs.twimg.com/profile_images/1037158003655360512/VcFu99rN_normal.jpg
7.96017E+17,1.14579E+18,2019-07-01T20:13:52Z,ShadowLakeCtr,"Canada Eh?

#ohcanada #summercamp2019 #Canadaday #shadowlake https://t.co/w7eJIbffGq",Twitter for Android,60,,,,FALSE,FALSE,1,0,ohcanada|summercamp2019|Canadaday|shadowlake,,,,,http://pbs.twimg.com/media/D-anwdyX4AEMrJk.jpg,https://t.co/w7eJIbffGq,https://twitter.com/ShadowLakeCtr/status/1145787624721977347/photo/1,photo,http://pbs.twimg.com/media/D-anwdyX4AEMrJk.jpg,https://t.co/w7eJIbffGq,https://twitter.com/ShadowLakeCtr/status/1145787624721977347/photo/1,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/ShadowLakeCtr/status/1145787624721977347,Shadow Lake Centre,"Whitchurch-Stouffville, Ontari",A society where everyone belongs. A society where everyone is valued.,https://t.co/CUbe2vKwG3,FALSE,90,134,0,270,167,2016-11-08T15:50:58Z,FALSE,https://t.co/CUbe2vKwG3,http://www.shadowlakecentre.ca,,https://pbs.twimg.com/profile_banners/796017173768577024/1561914094,,http://pbs.twimg.com/profile_images/1037158003655360512/VcFu99rN_normal.jpg
714379704,1.14648E+18,2019-07-03T18:05:00Z,ZDFinfo,"Nicht verpassen: #JetztimTV zeigen wir Folge 3 der ""Kanada-Saga""! 
#Kanada #OhCanada #TVTipp https://t.co/2rL8lCAOhB",TweetDeck,92,,,,FALSE,FALSE,4,1,JetztimTV|Kanada|OhCanada|TVTipp,,,,,http://pbs.twimg.com/tweet_video_thumb/D-jlek4XUAED7do.jpg,https://t.co/2rL8lCAOhB,https://twitter.com/ZDFinfo/status/1146479971092688896/photo/1,photo,http://pbs.twimg.com/tweet_video_thumb/D-jlek4XUAED7do.jpg,https://t.co/2rL8lCAOhB,https://twitter.com/ZDFinfo/status/1146479971092688896/photo/1,,,,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/ZDFinfo/status/1146479971092688896,ZDFinfo,Mainz,ZDFinfo - Fernsehen zum Mitreden / Impressum: https://t.co/X5QRUvK81P / Teletext ab Tafel 740,http://t.co/AaePALgtym,FALSE,29518,395,322,16670,9093,2012-07-24T14:30:59Z,TRUE,http://t.co/AaePALgtym,http://www.zdfinfo.de,,https://pbs.twimg.com/profile_banners/714379704/1484214457,http://abs.twimg.com/images/themes/theme9/bg.gif,http://pbs.twimg.com/profile_images/1063094576053977088/upbWLkOV_normal.jpg
