"","word","n"
"343","@vancityreynolds",7
"344","2nd",7
"345","afternoon",7
"346","ago",7
"347","american",7
"348","annual",7
"349","art",7
"350","bacon",7
"351","breakfast",7
"352","buy",7
"353","canoe",7
"354","care",7
"355","company",7
"356","cover",7
"357","days",7
"358","didnt",7
"359","eat",7
"360","evt",7
"361","evts",7
"362","excited",7
"363","feel",7
"364","friday",7
"365","funny",7
"366","girl",7
"367","giving",7
"368","healthy",7
"369","history",7
"370","kick",7
"371","les",7
"372","locations",7
"373","loud",7
"374","loved",7
"375","offices",7
"376","outsi",7
"377","pic",7
"378","province",7
"379","py",7
"380","race",7
"381","rest",7
"382","rexing",7
"383","sharing",7
"384","south",7
"385","special",7
"386","staff",7
"387","stand",7
"388","stop",7
"389","stunts",7
"390","sunday",7
"391","support",7
"392","tire",7
"393","top",7
"394","tous",7
"395","view",7
"396","vilge",7
"397","vt",7
"398","water",7
"399","wear",7
"400","wearing",7
"401","whos",7
"402","winner",7
"403","wt",7
"404","#canadafg",6
"405","#canadianmusic",6
"406","#cheers",6
"407","#coasttocoast",6
"408","#country",6
"409","#edmonton",6
"410","#familyfun",6
"411","#gloriousandfree",6
"412","#happycanadadayweekd",6
"413","#july",6
"414","#julyfirst",6
"415","#june",6
"416","#manitoba",6
"417","#monday",6
"418","#moose",6
"419","#oh_canada",6
"420","#ourhomeandnativend",6
"421","#peace",6
"422","#realestate",6
"423","#sograteful",6
"424","#the6ix",6
"425","#victoriabccanada",6
"426","#yvr",6
"427","#yxe",6
"428","#yyj",6
"429","@timhortons",6
"430","11am",6
"431","4th",6
"432","abroad",6
"433","betwe",6
"434","blog",6
"435","blue",6
"436","born",6
"437","bring",6
"438","brunswick",6
"439","building",6
"440","california",6
"441","canuck",6
"442","capital",6
"443","chick",6
"444","childr",6
"445","cool",6
"446","cultures",6
"447","diverse",6
"448","diversity",6
"449","double",6
"450","east",6
"451","experice",6
"452","farmers",6
"453","feeling",6
"454","fine",6
"455","fire",6
"456","flybys",6
"457","folks",6
"458","fresh",6
"459","frid",6
"460","goln",6
"461","guard",6
"462","head",6
"463","heritage",6
"464","hes",6
"465","hip",6
"466","honour",6
"467","hot",6
"468","huge",6
"469","id",6
"470","ill",6
"471","image",6
"472","isnt",6
"473","joyeuse",6
"474","keeping",6
"475","lovely",6
"476","media",6
"477","money",6
"478","mountain",6
"479","nice",6
"480","nova",6
"481","outdoors",6
"482","pay",6
"483","performances",6
"484","proudly",6
"485","read",6
"486","resume",6
"487","sad",6
"488","saturday",6
"489","scotia",6
"490","sd",6
"491","se",6
"492","sing",6
"493","sling",6
"494","spt",6
"495","stage",6
"496","started",6
"497","taking",6
"498","thee",6
"499","todays",6
"500","totally",6
"501","town",6
